siteID,date,observer,time,forayNumber,bandNumber,longitude,latitude,resightType,notes
PLACGIRFL1,2016-04-03,ZZ,NA,noData,2641-96768,NA,NA,T,NA
PROWGARFL1,2016-04-04,ZZ,NA,noData,2531-99370,NA,NA,T,NA
ROBIRONFL1,2016-04-06,ZZ,NA,noData,2641-96752,NA,NA,T,NA
ROBIRONFL1,2016-04-06,ZZ,NA,noData,2661-31392,NA,NA,T,NA
ROBIRONFL1,2016-04-06,ZZ,NA,noData,2590-82054,NA,NA,T,NA
ROBIRONFL1,2016-04-06,ZZ,NA,noData,2590-82100,NA,NA,T,NA
ROBIRONFL1,2016-04-06,ZZ,NA,noData,2641-96749,NA,NA,T,NA
ROBIRONFL1,2016-04-06,ZZ,NA,noData,2331-09151,NA,NA,T,NA
ROBISCOFL1,2016-06-08,ZZ,NA,1,2641-96671,NA,NA,F,NA
ROBISCOFL1,2016-06-08,ZZ,NA,1,2531-99329,NA,NA,F,NA
ROBISCOFL1,2016-06-08,ZZ,NA,1,2710-54225,NA,NA,F,NA
ROBISCOFL1,2016-06-08,ZZ,NA,1,2641-96664,NA,NA,F,NA
ROBISCOFL1,2016-06-08,ZZ,NA,1,2541-40469,NA,NA,F,NA
ROBISCOFL1,2016-06-08,ZZ,NA,1,2541-40468,NA,NA,F,NA
SHAHMAUFL1,2016-05-07,ZZ,8:25,noData,2661-07665,NA,NA,T,NA
STRARICFL1,2016-04-20,ZZ,NA,noData,2541-40413,NA,NA,T,NA
WEBBTOMFL1,2016-09-28,ZZ,NA,1,2640-61823,NA,NA,F,NA
WILLJIMFL1,2016-04-07,ZZ,NA,noData,2641-96608,NA,NA,T,NA
WILLJIMFL1,2016-04-07,ZZ,NA,noData,2641-96758,NA,NA,T,NA
WILLJIMFL1,2016-04-07,ZZ,NA,noData,2541-37508,NA,NA,T,NA
WINTCHAFL1,2016-04-22,ZZ,NA,noData,2661-31337,NA,NA,T,NA
WINTCHAFL1,2016-05-11,ZZ,NA,noData,2640-61823,NA,NA,T,NA
BRAXBOBGA1,2016-05-18,JLD,11:48,1,1352-27604,-84.41007,33.67196,F,NA
DISALINGA1,2016-06-15,JLD,11:13,1,2711-54768,NA,NA,F,NA
ROHRSALMD1,2016-06-22,"MAR, KJW",11:42,1,2570-44724,-76.5533,38.860502,F,NA
PERRCHRMD1,2016-06-29,"KJW,MAR",12:09,1,2711-77542,-76.5481,39.00997,F,NA
PERRCHRMD1,2016-06-29,"KJW,MAR",12:43,1,2710-54337,-76.5481,39.010574,F,NA
BUISNORVA1,2016-07-05,JLM,10:30,NA,2531-74567,-77.26477,38.74165,I,NA
WILLTERMD1,2016-06-07,JLM,12:20,1,2711-77607,NA,NA,F,NA
EVANMICMD1,2016-04-28,KPK,10:19,noData,2531-74587,NA,NA,T,NA
BANCRESDC1,2016-05-03,ERF,10:40,noData,1352-46579,NA,NA,T,NA
BANCRESDC1,2016-05-03,"ERF,KPK",11:40,noData,1272-43199,NA,NA,T,NA
BANCRESDC1,2016-05-03,JLM,11:40,noData,2641-96858,NA,NA,T,NA
FORESESMD1,2016-05-05,"AEH,ERF",8:35,NA,2641-96865,NA,NA,I,NA
FORESESMD1,2016-05-05,"KPK,ERF,AEH",11:50,1,2571-89993,NA,NA,F,NA
FORESESMD1,2016-05-05,"KPK,ERF,AEH",11:55,1,2421-11945,NA,NA,F,NA
FORESESMD1,2016-05-05,"KPK,ERF,AEH,JLM",11:35,1,2571-90190,NA,NA,F,NA
COLSKATMD1,2016-05-07,JLM,NA,noData,2750-64417,NA,NA,T,NA
COLSKATMD1,2016-05-07,JLM,NA,noData,2531-74593,NA,NA,T,NA
COLSKATMD1,2016-05-07,JLM,NA,noData,2571-90051,NA,NA,T,NA
WILLRAJMD1,2016-05-07,KPK,NA,noData,2441-96387,NA,NA,T,NA
GOCHJOAMD1,2016-05-28,KPK,12:15,1,2421-34693,-76.58118,39.6517,F,NA
DAVIALIVA1,2016-05-31,ERF,11:00,1,2651-52490,-77.096847,38.898106,F,NA
DAVIALIVA1,2016-05-31,ERF,11:02,1,2571-89968,-77.097091,38.897999,F,NA
DAVIALIVA1,2016-05-31,ERF,11:10,1,2641-63795,-77.096676,38.89784,F,NA
DAVIALIVA1,2016-05-31,ERF,11:11,1,2641-63794,-77.09632,38.897919,F,NA
NEWBCARVA1,2016-05-31,KPK,12:35,1,2421-11431,-77.32711,38.88966,F,NA
WARDDOUVA1,2016-05-31,ERF,8:35,1,2531-90209,-77.088944,38.884899,F,NA
WILDANNVA1,2016-05-31,ERF,12:56,1,2661-07902,-77.096425,38.899337,F,NA
JAMESESVA1,2016-06-02,ERF,9:09,NA,2641-96857,NA,NA,I,NA
JAMESESVA1,2016-06-02,KPK,9:30,NA,2561-56879,NA,NA,I,NA
JAMESESVA1,2016-06-02,ERF,10:19,NA,2641-96856,NA,NA,I,NA
HAWNJANVA1,2016-06-03,ERF,10:10,1,2641-96587,NA,NA,F,NA
HAWNJANVA1,2016-06-03,ERF,10:30,1,2641-96588,NA,NA,F,NA
GOROCARDC1,2016-06-07,AEH,10:00,NA,2711-77618,NA,NA,I,NA
GOROCARDC1,2016-06-07,ERF,13:00,1,2711-77620,NA,NA,F,NA
MANNJANDC1,2016-06-07,ERF,13:25,1,2651-51547,NA,NA,F,NA
SCHIMARMD1,2016-06-10,"KPK,AEH",9:30,NA,2661-31557,-77.10913,39.10592,I,NA
SCHIMARMD1,2016-06-10,"AEH,KPK",12:41,1,2661-31557,-77.11028,39.10545,F,NA
JACOMERMD1,2016-06-11,KPK,7:02,NA,2651-51543,NA,NA,I,NA
JACOMERMD1,2016-06-11,KPK,12:10,1,2641-63957,NA,NA,F,NA
SUBRSTEMD1,2016-06-13,JLM,9:45,1,2571-90068,NA,NA,F,NA
MYERBRUMD1,2016-06-13,AEH,11:17,1,2411-37787,NA,NA,F,NA
HOROBONVA1,2016-06-15,JLM,9:50,1,2571-89930,NA,NA,F,NA
HOROBONVA1,2016-06-15,JLM,11:25,1,2710-53795,NA,NA,F,NA
BRIGKIMMD1,2016-06-16,JLM,11:46,1,2651-47542,NA,NA,F,NA
BRIGKIMMD1,2016-06-16,JLM,12:05,1,2441-14184,NA,NA,F,NA
BLOCDAVMD1,2016-06-16,KPK,11:42,1,1342-72980,NA,NA,F,NA
BLOCDAVMD1,2016-06-16,KPK,7:16,NA,2651-52497,NA,NA,I,NA
BLOCDAVMD1,2016-06-16,KPK,11:27,1,2441-96351,NA,NA,F,NA
DALEELIMD1,2016-06-17,JLM,7:59,NA,2710-53793,NA,NA,I,NA
MCCOCHRMD1,2016-06-18,KPK,11:45,1,2441-96391,NA,NA,F,NA
OWENDORVA1,2016-06-18,JLM,9:00,NA,2661-31896,NA,NA,I,NA
WISECELMD1,2016-06-20,"DLN, KJW",8:10,NA,2651-47516,-77.0324,39.069859,I,NA
WISECELMD1,2016-06-20,"DLN, KJW",NA,NA,1232-94725,NA,NA,I,NA
WISECELMD1,2016-06-20,"DLN, KJW",14:05,1,2730-24718,-77.0311,39.070009,F,NA
SINGVIRDC1,2016-06-21,JLM,7:10,NA,2711-57707,NA,NA,I,NA
